method,tracer,oxygen,treatment,metabolite,time,isotope,mean,se
sim,glc2,21%,BAY,PYR,72,M2,0.247593047192984,0.03523595993502873
sim,glc2,21%,BAY,PYR,72,M3,0.0018812057986012133,1.3229964969475308e-4
sim,glc2,0.5%,None,PYR,24,M0,0.8667805940125282,0.02323402771933719
sim,glc2,0.5%,None,PYR,24,M1,0.0042794826785455915,7.435554885795754e-4
sim,glc2,0.5%,None,PYR,24,M2,0.12866353604241582,0.022825015233826386
sim,glc2,0.5%,None,PYR,24,M3,4.4115356474067286e-4,2.0100660522243157e-5
sim,glc2,0.5%,None,PYR,48,M0,0.8165382327826506,0.008080935860687524
sim,glc2,0.5%,None,PYR,48,M1,0.0057082289220182665,3.4429117505919234e-4
sim,glc2,0.5%,None,PYR,48,M2,0.17761251502511774,0.0077745502265568695
sim,glc2,0.5%,None,PYR,48,M3,3.991164908690489e-4,6.776520745345727e-5
sim,glc2,0.5%,None,PYR,72,M0,0.7393930510800402,0.014735576032943551
sim,glc2,0.5%,None,PYR,72,M1,0.006684625908608262,3.763537343250983e-4
sim,glc2,0.5%,None,PYR,72,M2,0.2531746467949301,0.014250600646219174
sim,glc2,0.5%,None,PYR,72,M3,9.019187108361783e-4,6.914958078797918e-5
sim,glc6,21%,None,PYR,24,M0,0.6094220951194395,0.02482282217050326
sim,glc6,21%,None,PYR,24,M1,0.001953759122364708,3.4745983295956736e-4
sim,glc6,21%,None,PYR,24,M2,0.012697195457381894,9.623813817757314e-4
sim,glc6,21%,None,PYR,24,M3,0.37592695030081386,0.0236542326070806
sim,glc6,21%,None,PYR,48,M0,0.3370709768394101,0.00543898450984967
sim,glc6,21%,None,PYR,48,M1,0.0022007305765902254,2.813418327843209e-4
sim,glc6,21%,None,PYR,48,M2,0.022412230370427003,8.358456331028537e-4
sim,glc6,21%,None,PYR,48,M3,0.6375750108152727,0.0054113188922026425
sim,glc6,21%,None,PYR,72,M0,0.21398983862202228,0.00475198849578364
sim,glc6,21%,None,PYR,72,M1,0.001582856000253916,1.3404302785069365e-4
sim,glc6,21%,None,PYR,72,M2,0.02880176661516079,9.529992357542628e-5
sim,glc6,21%,None,PYR,72,M3,0.7559517626289061,0.00491575208310001
sim,glc6,21%,DMSO,PYR,24,M0,0.6244697823891598,0.018126063050423222
sim,glc6,21%,DMSO,PYR,24,M1,0.0016747493638666192,1.6545431547103037e-5
sim,glc6,21%,DMSO,PYR,24,M2,0.01243621581954194,6.039306399108326e-4
sim,glc6,21%,DMSO,PYR,24,M3,0.3615632079659249,0.017531121223948423
sim,glc6,21%,DMSO,PYR,48,M0,0.40190143837687853,0.013480764647334801
sim,glc6,21%,DMSO,PYR,48,M1,0.0015537151656477791,2.026311466990383e-4
sim,glc6,21%,DMSO,PYR,48,M2,0.021278714656457656,5.312838223566611e-4
sim,glc6,21%,DMSO,PYR,48,M3,0.5757478539126284,0.012890036964649076
sim,glc6,21%,DMSO,PYR,72,M0,0.24061428234459264,0.001845991216469042
sim,glc6,21%,DMSO,PYR,72,M1,0.001301104251241569,1.6328188128248745e-4
sim,glc6,21%,DMSO,PYR,72,M2,0.027375898443145193,2.830891615194592e-4
sim,glc6,21%,DMSO,PYR,72,M3,0.7309537422112442,0.001745397887938871
sim,glc6,21%,BAY,PYR,24,M0,0.6317579886631374,0.01954269477537921
sim,glc6,21%,BAY,PYR,24,M1,0.0011891745523984992,2.0660871949259853e-4
sim,glc6,21%,BAY,PYR,24,M2,0.013136630892528003,5.510564869570452e-5
