method,tracer,oxygen,treatment,metabolite,time,isotope,mean,se
fs,glc6,0.5%,None,FBP,24,M1,3.1924270871896783e-21,5.980589736214418e-21
fs,glc6,0.5%,None,FBP,24,M2,8.626736641102117e-21,3.715075094567869e-21
fs,glc6,0.5%,None,FBP,24,M3,0.028251027959901122,0.004553002046995445
fs,glc6,0.5%,None,FBP,24,M4,1.2993472731704662e-20,9.865149331225454e-21
fs,glc6,0.5%,None,FBP,24,M5,0.06111118855427377,0.011857734978948094
fs,glc6,0.5%,None,FBP,24,M6,0.9202006325718862,0.0056588230999931105
fs,glc6,0.5%,None,FBP,36,M0,0.0029750036048199376,6.672123691448316e-4
fs,glc6,0.5%,None,FBP,36,M1,1.1810153290092846e-20,1.4792074448094853e-21
fs,glc6,0.5%,None,FBP,36,M2,1.8156031643655273e-4,1.8156031643655273e-4
fs,glc6,0.5%,None,FBP,36,M3,0.02000947980648747,0.006887908150287217
fs,glc6,0.5%,None,FBP,36,M4,1.3396380737200336e-20,2.306693554456147e-20
fs,glc6,0.5%,None,FBP,36,M5,0.08639891107881219,0.023130948250757625
fs,glc6,0.5%,None,FBP,36,M6,0.9146394152608576,0.012490102787783914
fs,glc6,0.5%,None,FBP,48,M0,0.002074717305149422,0.001037376031506958
fs,glc6,0.5%,None,FBP,48,M1,-6.725002923748745e-21,1.5860513114416242e-20
fs,glc6,0.5%,None,FBP,48,M2,4.681780978706656e-19,4.664968183396593e-19
fs,glc6,0.5%,None,FBP,48,M3,0.02110098599346316,0.007149945319087831
fs,glc6,0.5%,None,FBP,48,M4,2.5976151504659002e-20,1.2880612126784533e-20
fs,glc6,0.5%,None,FBP,48,M5,0.04296224596052642,0.006691466057965229
fs,glc6,0.5%,None,FBP,48,M6,0.8572689216707058,0.07128349349906349
fs,lac3,21%,None,FBP,12,M0,0.9971670203311498,0.0028329796688502475
fs,lac3,21%,None,FBP,12,M1,-4.969255718168743e-18,8.025069258225337e-19
fs,lac3,21%,None,FBP,12,M2,1.0499376702335886e-18,3.9502954696731296e-19
fs,lac3,21%,None,FBP,12,M3,0.012013239128295123,0.005324515924266591
fs,lac3,21%,None,FBP,12,M4,-1.6658713416601744e-20,1.7017604698475572e-20
fs,lac3,21%,None,FBP,12,M5,0.0289470216527598,0.016031461662673725
fs,lac3,21%,None,FBP,12,M6,5.073949997888405e-20,3.333110392764621e-20
fs,lac3,21%,None,FBP,24,M0,1,0
fs,lac3,21%,None,FBP,24,M1,-4.2975926011771865e-18,9.384078945137687e-19
fs,lac3,21%,None,FBP,24,M2,8.401819911950318e-20,4.671674649656235e-19
fs,lac3,21%,None,FBP,24,M3,0.01833637801726308,0.007176532912649982
fs,lac3,21%,None,FBP,24,M4,7.84494986417575e-20,8.933923018954561e-21
fs,lac3,21%,None,FBP,24,M5,0.006040258400645433,0.00491500357337857
fs,lac3,21%,None,FBP,24,M6,4.749054841161083e-21,3.896008255971419e-20
fs,lac3,21%,None,FBP,36,M0,1,0
fs,lac3,21%,None,FBP,36,M1,-1.3837081709039438e-18,6.29694817394518e-19
fs,lac3,21%,None,FBP,36,M2,-2.349378192586123e-19,3.8794403192840637e-19
fs,lac3,21%,None,FBP,36,M3,0.014572456935223858,0.006353022130258343
fs,lac3,21%,None,FBP,36,M4,1.8183808291666135e-20,8.504547153459807e-22
fs,lac3,21%,None,FBP,36,M5,-9.635061910455761e-21,1.4507748566793204e-20
fs,lac3,21%,None,FBP,36,M6,-2.3735093107753393e-22,3.3573809465599633e-22
fs,lac3,21%,None,FBP,48,M0,1,0
fs,lac3,21%,None,FBP,48,M1,-1.7664104123303993e-18,1.5715788862310073e-19
fs,lac3,21%,None,FBP,48,M2,5.712872129485196e-19,2.781426218375045e-19
fs,lac3,21%,None,FBP,48,M3,0.023326571975398135,0.003002633750528808
fs,lac3,21%,None,FBP,48,M4,-2.4301773952883404e-21,1.7817573502377187e-20
fs,lac3,21%,None,FBP,48,M5,0.003716809777303592,0.003716809777303592
fs,lac3,21%,None,FBP,48,M6,1.2395798466221155e-21,1.0965161674840736e-21
fs,lac3,0.5%,None,FBP,12,M0,1,0
fs,lac3,0.5%,None,FBP,12,M1,-2.348062840494239e-18,4.840066290859779e-19
fs,lac3,0.5%,None,FBP,12,M2,3.426846016086106e-19,4.274615380070391e-19
fs,lac3,0.5%,None,FBP,12,M3,0.020629634510746744,0.003108570178503386
fs,lac3,0.5%,None,FBP,12,M4,4.388253735341802e-20,2.4490608397457898e-20
fs,lac3,0.5%,None,FBP,12,M5,0.004538897417181161,0.0041339529938891565
